subject CURIE prefix	object CURIE prefix	predicate	edge count
CLO	CLO	biolink:related_to	2
dbSNP	chickenQTL	biolink:biomarker_for	1992
OBO	IAO	biolink:related_to	1
MGI	MMRRC	biolink:same_as	2
OBO	NCBITaxon	biolink:part_of	12616
http	MONDO	biolink:subclass_of	57130
STATO	OBI	biolink:subclass_of	1
http	BFO	biolink:subclass_of	5
OBO	NCBITaxon	biolink:related_to	7
HGNC	HP	biolink:related_to	6
OBO	OBO	biolink:subPropertyOf	17
CL	GO	biolink:has_part	109
GO	UBERON	biolink:has_output	1
MONARCH_BNODE	RGD	biolink:related_to	1
ECO	GO	biolink:related_to	83
FBcv	FBcv	biolink:subclass_of	198
IAO	BFO	biolink:subclass_of	5
RGD	GO	biolink:actively_involved_in	146383
BIOGRID	OMIM	biolink:contributes_to	341
pigQTL	pigQTL	biolink:biomarker_for	60
IAO	CHEBI	biolink:subclass_of	1
OBO	Orphanet	biolink:subclass_of	19463
Xenbase	SGD	biolink:orthologous_to	2900
WormBase	UniProtKB	biolink:has_gene_product	2671
WD_Entity	ENVO	biolink:type	4
MGI	MMRRC	biolink:related_to	459
NCBIGene	FlyBase	biolink:related_to	133
GO	SO	biolink:has_output	6
OBO	OBO	biolink:has_attribute	10
HGNC	EcoGene	biolink:orthologous_to	952
SEPIO	SEPIO	biolink:has_input	1
UBERON	CL	biolink:subclass_of	5
BSPO	BSPO	biolink:subPropertyOf	8
BIOGRID	HGNC	biolink:interacts_with	3
SEPIO	owl	biolink:subclass_of	1
dictyBase	GO	biolink:part_of	20328
sheepQTL	AQTLTrait	biolink:biomarker_for	2922
GO	CHEBI	biolink:has_output	100
Xenbase	WormBase	biolink:orthologous_to	9980
GO	owl	biolink:subclass_of	6154
ClinVarVariant	HGNC	biolink:gene_associated_with_condition	329
foaf	foaf	biolink:subPropertyOf	12
HGNC	BIOGRID	biolink:interacts_with	13
ZFIN	PomBase	biolink:related_to	2482
PO	PO	biolink:has_part	9
OBO	PO	biolink:subclass_of	1
UBERON	UBERON	biolink:coexists_with	59
UBERON	GO	biolink:subclass_of	10
pigQTL	NCBIGene	biolink:biomarker_for	16045
OMIM	OMIM	biolink:related_to	4268
PR	OBI	biolink:subclass_of	1
IAO	IAO	biolink:subclass_of	167
NCBIGene	Orphanet	biolink:related_to	2
FlyBase	NCBIGene	biolink:interacts_with	23
ENSEMBL	EcoGene	biolink:orthologous_to	926
MONARCH_NODE	MP	biolink:has_phenotype	34185
OBO	OBO	biolink:subclass_of	93638
MONARCH_BNODE	RO	owl:onProperty	233
GENO	OBAN	biolink:subclass_of	1
dbSNP	HP	biolink:related_to	2703
ECO	ECO	biolink:subclass_of	3014
PO	PO	biolink:located_in	2
RGD	VGNC	biolink:related_to	8
PR	GO	biolink:related_to	89
MGI	PomBase	biolink:related_to	2554
pav	SEPIO	biolink:subPropertyOf	3
